"ID","Name","Rating","Degree","Specialization","Review_Date","Review_Text","Word_Count","Sentiment_Label","Sentiment_Score"
13,"PAIDI CHAITANYAPRASAD",4.5,"B.Tech","Electronics & Communication Engineering","2025-02-07","The number of student here.. its over crowded VIT has connections with a lot of industries. It's very easy to network since professors recommend the people you connect with The campus is huge (vellore campus). The more you go around campus the bigger it gets. The infrastructure and maintance of labs is also top-notch",54,"Positive",2
14,"S MUHAMMAD RIFAYI",4.7,"B.Tech","Electrical And Electronics Engineering","2025-02-07","Seniors are very friendly and are always willing to guide you incase you need any help VIT has a huge intake every year. So it feels very crowded a lot of the time The hostel management is a little strict with boys but very strict with girls",47,"Neutral",1.3
15,"Pendekanti Divyanshu",3,"B.Tech","Computer Science and Engineering","2025-02-06","Beautiful campus with great infrastructure and lab facilities We can choose our subjects and faculties based on our preference  There are so many clubs and chapters for extra curricular activities",30,"Positive",2
16,"AINDVI GUPTA",4.5,"B.Tech","Biotechnology","2025-02-06","Too much intake of students that make the campus too crowded there are lot of criteria for campus placements and the competition is very high Always under construction that make disturbance in classes",33,"Negative",0.7
17,"Pranay",3,"B.Tech","Computer Science and Engineering","2025-02-06","You can adjust yor time table as you wish with the faculty you want. Good exposure to people from other states and good internship programs. National level Hackathons and good entertainment events takes place frequently.",35,"Positive",1.7
18,"Preethika",3.6,"B.Tech","Computer Science and Engineering","2025-02-06","The college is still under construction but the required was done so good Less number of grounds and courts as it is under construction we can expect more in future. Some faculty who are encourage us and used to treat us as a good friend",45,"Positive",2
19,"YANDRA DEVI PRASANNA",2.9,"B.Tech","Computer Science and Engineering","2025-02-06","The work they give and some of the faculty teaching is not good and loots of assignments, records, not proper time for exams One of my senior got placed in Couch Base for 34LPA CTC another got placed in Unilever for 42LPA but this was for CSE and related branches while few of my seniors got decent package from mechanical branch too 8-12L in companies like Mercedes a Euler  ~ Anonymous, B.Tech FFCS. A study who is facing difficulty to study more, can take less number of credits and it will reduce the burden of the students. And the student can also Complete the entire course in 4 years instead of 5years  by taking maximum no of credits.  ~ Supriya R Patil, B.Sc + M.Sc",125,"Positive",2.3
20,"Machupalli Divya Sree",3.8,"B.Tech","Computer Science and Engineering","2025-02-06","Campus Life in Vit is simply magnificent.All types of facilities are provided inside the campus including sport complex and restaurants.The girls to boys ratio in Mechanical engineering is surprisinly high of about 1:7.  ~ Mithilesh Angal, B.Tech I don’t like how the student and faculty ratio is 60-40  ~ Praveen Kumar, BCA Lot of exams yearly 3 exams in a semester 2-3 quiz and 1-2 DA  ~ Kartik Navnath Narare, B.Tech",71,"Positive",1.7
21,"DEVANSH ARORA",4.3,"B.Tech","Computer Science and Engineering","2025-02-06","Water is really bad. 750+ TDS. It makes you go bald. Really.  ~ Piyush Prajapati, B.Des This is diverse College . You can interact with student from almost states from India. You can enhance your communication skills here. Here good thing is FFCS that is fully flexible credit system. In this you can make your own time table. You can choose your desired teacher and timing of the subjects you want to study.",73,"Positive",2
22,"Rahul Simhadri",4.1,"B.Tech","Computer Science and Engineering","2025-02-06","The campus is too Big .It is in 300 acres.  In summers it is too hot here. Due to its geographical region.  It is away from the city . It is 70km away from the Bhopal .There is no such social life outside the campus.",45,"Positive",1.7
23,"Lakshetha Ravikumar",3.3,"B.Tech","Computer Science and Engineering","2025-02-06","Sports facility is not much developed . It's under development. 9 pointers- no attendance policy for exams like CAT, FAT Healthy senior, junior bond, very appreciative and welcoming campus",29,"Positive",2
24,"PUSARLA PRAVEEN",4.2,"B.Tech","Computer Science and Engineering","2025-02-06","Facilities provided to students in terms of opportunities, events like Hackathons Hostel infrastructure of few buildings not maintained Very competitive environment and exam pressure.",24,"Positive",2
25,"Gagan Vihari Thamanana",3.6,"B.Tech","Computer Science and Engineering","2025-02-06","here we have plenty of resources to improve practical knowledge no attendence of students who are having cgpa more than 9 better place for placements and internships",27,"Positive",2
26,"Ramveer Choudhary",5,"B.Tech + M.Tech","Computer Science & Engineering","2025-02-06","more strength of students than required . very few fests and cultural activities in normal days no outing permission during night time to go out side of the campus",29,"Neutral",1.3
27,"Pavani",3,"B.Tech","Computer Science and Engineering","2025-02-05","Infrastructure and availability of opportunities is more than expected. It is upto the students to make good use of it. Hostel facilities and other facilities are made with the students as priority. Permission is available for hostellers for going on Friday prayers without any disturbances. Even fasting facilties for muslim students are made. No discrimination on any basis at all. A very good environment for becoming the best version of yourself. Many social opportunities are available.",76,"Positive",2
28,"Siddapureddy tejaswini",5,"B.Tech","Computer Science and Engineering","2025-02-05","The grading system is not equal for all. It cannot be considered a metric for the brilliance of a student. Students should'nt expect faculty to train well. Though most faculty strive and do their job diligently, some faculty are not so good. Choose your faculty with consultation from seniors. The curriculumn is a bit fast paced. You are expected to learn and adapt quick, if you are to score well.",70,"Positive",3
29,"Chilamakuri Shameena",5,"B.Tech","Computer Science and Engineering","2025-02-05","Good infrastructure and environment greenery campus. It is a huge 193 acre campus with well maintained campus. So many opportunities for the students in different areas.",26,"Positive",2
30,"Review Ranger",3.9,"B.Tech","Computer Science and Engineering","2025-02-04","Climate is harsh it is a high humid climate. Benches are not good In some classrooms. In hostel due to hard water majority are getting skin diseases.",27,"Negative",0.7
31,"Besi Karthik",3.8,"B.Tech","Computer Science and Engineering","2025-02-04","The infrastructure of VIT for biotech is far better and funded than most IITs making it the best choice for a degree in biotech. The faculties are extremely helpful and supportive. While workshops start from the 1st yr, internships start with 3rd yr. Campus Life is beautiful and lively. Social interactions are carefree and hate free. Seniors are helpful and sweet. Ragging free campus. Ice breaking events happening often. Teaching methods are practical and exams are application based. Effectiveness of the placement support is proven at the end of 4 yrs. Placement %- 75%. Amazing infrastructure. Huge halls and theatres. Enormous library. Calm environment and greenery all around. No pollution. Nutritious food. Healthy lifestyle.",114,"Positive",5.7
32,"Susmitha",4.3,"B.Tech","Computer Science and Engineering","2025-02-04","There aren't many things I disliked about here. Surely, when u come in the beginning, there will be problems with permissions and certain formalities, keeping up with the academic timetable, running through the huge campus But within a few weeks all will be done and there won't be anymore problems. Infrastructure and environment is  good.",55,"Negative",1
33,"Gourinanda P R",3.6,"B.Sc + M.Sc","Mathematics","2025-02-04","Campus is huge and very much spacious with 193 acre. High maintenance of greenery and hostels. Benches in the class rooms are not comfortable.",24,"Positive",2
34,"Aarshia Nair",3.5,"B.Tech","Computer Science and Engineering","2025-02-04","No Air conditioners in some administrative blocks. Outings are not given with ease.certain procedure have to be followed. There are a lot open opportunities for growth",26,"Positive",1.7
35,"VANSH KHEWAL",3.8,"B.Tech","Computer Science and Engineering","2025-02-03","You get to choose your timetable and faculaties from your 2nd semester you could publish research papers with the help of your mentor while your studying , if your projects are good , you could even receive patents All priorities depend on your CGPA here, so studying could open more opportunities",51,"Positive",1.7
36,"Kishore",4,"B.Tech","Electronics & Computer Engineering","2025-02-03","You have to walk a great deal inside the campus , so get a good shoe From @nd semester since we have the liberty of choosing the timetable and classes, you will have to switch to different classes for every period I like the infrastructure of the college and the hostel too.",52,"Positive",2.7
37,"Sritosh Rath",4,"B.Tech","Data Sciences","2025-02-03","Teachers are well qualified and knowledgeable  Social interaction is good as there are many clubs and chapters  There is less student- teacher Interaction beyond the classroom",26,"Positive",2.7
38,"ISHAAN KAPOOR",3.4,"B.Tech","Computer Science and Engineering","2025-02-03","Strict rules to go outside the campus. Girls to boys ratio is 1:3. Rules for girls are more stricter than that of boys. Most of the decisions are taken suddenly. And there is no before intimation to the students regarding these decisions. Infrastructure, classrooms, labs, and canteens",47,"Negative",1
39,"SIDDHANT KUMAR",3.8,"B.Tech","Artificial Intelligence & Machine Learning","2025-02-02","placements, faculty, teaching methods and learning facilites constant construction in the campus is something that i disliked mess food isn't exactly my favourite one",24,"Negative",0.7
40,"Chirayu Jain",3.9,"B.Tech","Artificial Intelligence & Machine Learning","2025-02-01","the costs of food items in the college are a bit expensive One of my senior got placed in Couch Base for 34LPA CTC another got placed in Unilever for 42LPA but this was for CSE and related branches while few of my seniors got decent package from mechanical branch too 8-12L in companies like Mercedes a Euler  ~ Anonymous, B.Tech FFCS. A study who is facing difficulty to study more, can take less number of credits and it will reduce the burden of the students. And the student can also Complete the entire course in 4 years instead of 5years  by taking maximum no of credits.  ~ Supriya R Patil, B.Sc + M.Sc",114,"Negative",1
41,"Lokesh kumar Bhuyan",5,"B.Tech","Cyber Physical Systems","2025-02-01","Campus Life in Vit is simply magnificent.All types of facilities are provided inside the campus including sport complex and restaurants.The girls to boys ratio in Mechanical engineering is surprisinly high of about 1:7.  ~ Mithilesh Angal, B.Tech I don’t like how the student and faculty ratio is 60-40  ~ Praveen Kumar, BCA Lot of exams yearly 3 exams in a semester 2-3 quiz and 1-2 DA  ~ Kartik Navnath Narare, B.Tech",71,"Positive",1.7
42,"Samiksha Gupta",3.5,"B.Tech","Artificial Intelligence & Machine Learning","2025-01-31","Water is really bad. 750+ TDS. It makes you go bald. Really.  ~ Piyush Prajapati, B.Des i like the library of vit chennai as they are centralised ac classes good exposure as students from various states come",37,"Positive",1.7
43,"anushka agrawal",2.4,"B.Tech","Electronics & Computer Engineering","2025-01-31","teachers are also very good and they are very helping  everything here is fine but the thing is that it is very overcrowded  great competition as a lot of students are there good companies will come but you have to work really hard to get a good package ",48,"Positive",2.7
44,"Pratim Mukherjee",4.2,"M.Sc","Data Science","2025-01-31","Support for the talent like including clubs and chapters Way of practice for students in subjects Has a very good infrastructure and placements",23,"Positive",2.7
45,"Shubham Thakur",3.5,"B.Tech","E-Commerce","2025-01-30","Has more crowd of students that feels somewhat but not surely that's the problem Should change classes from one place to other for maxm every class Wifi is not that strong for some areas and rooms",36,"Neutral",1.3
46,"Aman kumar",4.3,"B.Tech","Computer Science and Engineering","2025-01-30","The college give a good exposure as we meet people from diverse background and culture The hostel and hostel food is good and if a thing is lost there is a special team to find it and they will help us The system of ffcs is good as we can choose our own timetable and teachers according to our convenience ",60,"Positive",1.7
47,"DANDAMUDI YASWANTH CHOWDARY",4.2,"B.Tech","Artificial Intelligence & Machine Learning","2025-01-29","In the first ffcs the first preference was given to dayboarders which is not fair I feel the study load is more and college life is hectic I feel the college is a bit overcrowded which might be a disadvantage during placement ",42,"Negative",1
48,"Shiv rathod",4.9,"B.Tech","Artificial Intelligence & Machine Learning","2025-01-29","I like the exposure and scenery of VIT chennai Some basic facilities are free and every thing clean and good Good faculty and placements which are provided",27,"Positive",2.7
49,"Chintham Litheswar Reddy",4.5,"B.Tech","Computer Science and Engineering","2025-01-29","I think the tution fees is someward high  I liked the faculty, and the way the faculty teaches. The digital classrooms really help us to understand. The girls to boys ratio is is 1:3. The quality of infrastructure is really well, new infrastructure is being built everyday as we speak.",50,"Positive",2
50,"Kausthubh Prasad Nair",4,"B.Tech","Computer Science and Engineering","2025-01-29","The course is very useful in our curriculum and also the faculty are really supportive in the classes. The course registration process is allowed for day scholars and then hostellers this is very unfair for hostellers Sometimes faculty prioritise girls over boys, this is very unfair for us boys.",49,"Positive",2
51,"Dhruv Kumar",4.6,"B.Tech","Electrical And Electronics Engineering","2025-01-27","Some faculty doesnt give internals honestly and cuts out marks just because they thought so this is unfair for some of us. I liked the infrastructure of our college which is quite impressive. Sports facilities are very very impressing because there are lot of grounds",45,"Positive",2
52,"tarun",5,"B.Tech","Mechanical Engineering","2025-01-27","Other facilities like library and medical facility available for 24 hours  I appreciate how they manage everything in a proper way  Yeah it is quite good as compared to school",30,"Positive",3
53,"Neelanjan Mukherjee",4,"B.Tech","Computer Science and Engineering","2025-01-27","I have heard that it is good here let's hope for the best I don't like how Hostellers have afternoon classes while Dayscholars have morning No interactions are really good here apart from everything",34,"Positive",2.3
54,"Krishang Singh",3,"B.Tech","Computer Science and Engineering","2025-01-26","Infrastructure and everything is still being constructed Here we are having lab activities during the class time it makes us to think creatively. I like environment of the campus. Here are having more freedom ",34,"Positive",2
55,"Jinam",3.4,"B.Tech","Artificial Intelligence & Machine Learning","2025-01-26","ratio of girls and boys is 1:1.No gender discrimination  I always think like why girls don't have separate playground to play. I don't like the washrooms in girls hostel.",29,"Neutral",1.3
56,"Review guru",4.5,"B.Tech","Electronics & Communication Engineering","2025-01-24","My hostel atmosphere not nice when compared to others hostels The faculty is well qualified ,with many having PhD experience s Modern infrastructure with well labs, classes,and libraries ",28,"Positive",2.7
57,"vaishnavi Jha",4.3,"B.Tech + M.Tech","Computational and Data Science","2025-01-24","The placement is good the companies like TCS , Infosys, amazon  The food in hostel mess is average,but sometimes it is good  Hostel timings are very strict especially for girls",30,"Neutral",1.3
58,"Review guru",4.4,"M.Tech","Computer Science And Engineering","2025-01-24","The fee structure is very high especially for management cota The academics and curicullum are well designed and managed for easier understanding and grasping of students. The placements are fairly good with around 800 companies visiting the campus for recruiting students across branches throughout the year.",46,"Positive",2.7
59,"Review guru",4.4,"B.Tech + M.Tech","Computer Science and Engineering + Data Science","2025-01-24","The campus is huge and there are lots of space and shops inside the campus to relax and spend time with friends, The hostel and academic buildings are very far for male students so we need to walk a lot for attending classes. The weather is very hot during the summers and it is very difficult to manage without ac rooms.",61,"Neutral",1.3
60,"College Ninja",4.3,"B.Tech","Electronics & Communication Engineering","2025-01-24","The campus is very crowded with over 20000+ students and causes delay while moving and doing daily works. One of my senior got placed in Couch Base for 34LPA CTC another got placed in Unilever for 42LPA but this was for CSE and related branches while few of my seniors got decent package from mechanical branch too 8-12L in companies like Mercedes a Euler  ~ Anonymous, B.Tech FFCS. A study who is facing difficulty to study more, can take less number of credits and it will reduce the burden of the students. And the student can also Complete the entire course in 4 years instead of 5years  by taking maximum no of credits.  ~ Supriya R Patil, B.Sc + M.Sc",120,"Negative",1
61,"ANSH DIXIT",4,"B.Tech","Computer Science and Engineering","2025-01-24","Campus Life in Vit is simply magnificent.All types of facilities are provided inside the campus including sport complex and restaurants.The girls to boys ratio in Mechanical engineering is surprisinly high of about 1:7.  ~ Mithilesh Angal, B.Tech I don’t like how the student and faculty ratio is 60-40  ~ Praveen Kumar, BCA Lot of exams yearly 3 exams in a semester 2-3 quiz and 1-2 DA  ~ Kartik Navnath Narare, B.Tech",71,"Positive",1.7
62,"College Ninja",3.3,"B.Tech","Internet of Things","2025-01-24","Water is really bad. 750+ TDS. It makes you go bald. Really.  ~ Piyush Prajapati, B.Des Infrastructure, Security services and Culture  Cultural programmes, cultural activities ",25,"Negative",1
63,"Shivam Sinha",3.3,"B.Tech","Artificial Intelligence & Machine Learning","2025-01-24","Maintainance of buildings and cleaning facilities  There is no better coaches for sports like cricket  The university environment is so pleasant and huge too.",24,"Positive",2.3
64,"Prakash",3.1,"B.Tech","Cyber Physical Systems","2025-01-23","There are many events and hackathons conducted for every month.  Sports and games are really good and there are tournaments too. The prices of things in the canteen and food Street.",31,"Positive",1.7
65,"Likhit",4.4,"B.Tech","Computer Science and Engineering","2025-01-23","Great exposure as there are students from different diverse cultures. Approximately from 80 different countries. Sem is too short as there are 2 internal exams and the working days are so less Too expensive. Even for club activities we have to pay a specific amount for participation",47,"Neutral",1.3
66,"Artham Varshith",4.3,"B.Tech","Computer Science and Engineering","2025-01-22","Stressful academics. Too much DA and quizzes within a short period of time Too busy schedules. No study leave for internal exams and final lab exams The campus is big and great, with lots of nature surrounding us",38,"Neutral",1.3
67,"Review guru",3.9,"B.Tech + M.Tech","Artificial Intelligence","2025-01-20","Most of the faculty is great and patient and teach pretty well The students here are very friendly and this college is strictly against bullying  There should be ACs in classrooms and the weather in vellore is really bad",39,"Positive",2
68,"Aryan Singh",3.6,"B.Tech","Computer Science and Engineering","2025-01-20","The strictness is too much for girls and not a lot for boys Placements are decent and you will get enough opportunities  All facilities are well qualified and they are having doctorate degree",33,"Positive",2.7
69,"ANSH PANDEY",3.9,"B.Tech","Computer Science and Engineering","2025-01-20","You will have a decent experience here . Campus is so much isolated away from city. Campus is not developed yet it's in developing phase",25,"Neutral",1.3
70,"SUMIT KUMAR SINGH",3.1,"B.Tech","Artificial Intelligence & Machine Learning","2025-01-19","Not enough opportunities for sports and other things Green, eco friendly campus and plenty of food stalls  Multicultural peoples and different sorts of cultural events ",25,"Positive",1.7
71,"DIVYANSH RAJPUT",3.9,"B.Tech","Computer Science and Engineering","2025-01-19","Good infrastructure with plenty of laboratory facilities  Hostel fee is very expensive compared to other colleges. Plenty of class have to attended each day.",24,"Neutral",1.3
72,"Ujval Sai",4.2,"B.Tech","Computer Science and Engineering","2025-01-19","Alternative Saturdays are working days and you have exams on Saturdays too. The infrastructure and labs of our college are too good and very well equopped Fest are pretty promising as you get a lot of exposure. ",37,"Positive",2.7
73,"Anshu Bakshi",4.6,"B.Tech","Electronics & Communication Engineering","2025-01-18","Ample research opportunities and placements are also a good plus point The overcrowded campus sometimes becomes intolerable The wardens in our hostel are sometimes irritating. ",25,"Neutral",1.3
74,"VANSH SANGHVI",3.9,"B.Tech","Civil Engineering","2025-01-18","High competition across all the fields across the college The exposure this college provides is really f=great this is due to the population here we can get to know the minds and thinking of many people. The facilities this college provides in research fields is awesome, provides students with correct guidance.",51,"Positive",2.7
75,"College Ninja",3.8,"B.Tech","Computer Science and Engineering","2025-01-17","The location of the college is pretty nice and peaceful. The night mess food of S block is limited alot they only provide one kind of cuisine that is dosa and nothing else. The sports infrastructure is not well maintained thr basketball rims are old and rusty and their nets are always torn the rims are not regulation size and are not of good quality same is with the football fieled its ill maintained",74,"Positive",2
76,"Gampala Rishikesh Reddy",4,"B.Tech + M.Tech","Software Engineering","2025-01-15","The constants test cycles taken are too hectic for students and they dont get to explore their own intrests The best thing here is FFCS(Fully flexible credit system) in which you can choose at what time you want to take class by which teacher and which subject. In simple terms you can make your own time table. There are 80 clubs in total. You can participate in so much extracurricular activities according to your interest.  ",75,"Positive",1.7
77,"Zeeshan",3.5,"B.Tech","Electronics & Communication Engineering","2025-01-14","Here you can see student from almost every state, therefore you will witness diverse culture here. The college is too far from the city. It is 70 km away from the Bhopal. Due to it's  location it is too hot in summers.",42,"Positive",1.7
78,"Aman Ahammed",2.3,"B.Sc + M.Sc","Food Technology","2025-01-14","Because the college is newly established, some part of the college is under construction.  The faculties are of the wide range, and you can choose as particular timetable and your comfortability. There are best faculties available. College is very big and the. food of the hostel is also very good. The quality of the food of the premium block is good.",61,"Positive",2.3
79,"Manjunath A Naik",5,"M.Tech","Computer Science And Engineering","2025-01-14","there is lush green  campus in college And the week of days are Saturday and Sunday. So there are today for your rest after attending 4 days in the week in the college classes There are no sports equipment or sports ground available.  The campus is too far away from the hostel. ",52,"Positive",2
80,"PONNURU NAMRATHA SAMPADA",4,"B.Sc + M.Sc","Data Science","2025-01-13","There is no transportation available from hostel to college. One of my senior got placed in Couch Base for 34LPA CTC another got placed in Unilever for 42LPA but this was for CSE and related branches while few of my seniors got decent package from mechanical branch too 8-12L in companies like Mercedes a Euler  ~ Anonymous, B.Tech FFCS. A study who is facing difficulty to study more, can take less number of credits and it will reduce the burden of the students. And the student can also Complete the entire course in 4 years instead of 5years  by taking maximum no of credits.  ~ Supriya R Patil, B.Sc + M.Sc",111,"Positive",1.7
81,"Review guru",4,"B.Tech + M.Tech","Cyber security","2025-01-12","Campus Life in Vit is simply magnificent.All types of facilities are provided inside the campus including sport complex and restaurants.The girls to boys ratio in Mechanical engineering is surprisinly high of about 1:7.  ~ Mithilesh Angal, B.Tech I don’t like how the student and faculty ratio is 60-40  ~ Praveen Kumar, BCA Lot of exams yearly 3 exams in a semester 2-3 quiz and 1-2 DA  ~ Kartik Navnath Narare, B.Tech",71,"Positive",1.7
82,"Rahul Pulletikurthi",4.9,"B.Tech","Mechanical Engineering","2025-01-11","Water is really bad. 750+ TDS. It makes you go bald. Really.  ~ Piyush Prajapati, B.Des playing badminton, cricket volleyball. watching movies Fully flexible credit system- You are allowed to choose your own teachers and design your own timetable according to your convenience. You can choose if you want to take theory classes in the morning or afternoon.",58,"Positive",1.7
83,"SAGAR PATIL",2.2,"B.Tech","Robotics and Artificial Intelligence","2025-01-11","The college provides you with a lot of facilities like a huge library, swimming pool, sports area. The library is well maintained and gives you an atmosphere to study well. The fests here in VIT Chennai are more than what you can say ""fun"". They call all reputed celebrities and artists for their concerts. VIT is a little strict regarding discipline. While in other government colleges and some private colleges you can roam around or outside the campus, here the in time for main gate is 6pm and for girls hostel 8pm while for boys 9pm.",96,"Positive",2
84,"Bhargav Ram Voruganti",3.6,"B.Tech + M.Tech","Software Engineering","2025-01-11","The cost of living here is a little on the higher side. However every other facility including eateries and even a restaurant, stationary store everything is available in campus The girls to boys ratio like any other engineering college is low here. In a class of 70 you may find around 12 or less girls in the class. Discipline and consideration of parents Before students out of the campus.  ",69,"Positive",2
85,"Puvvada Thanooj Karthikeya",4.1,"B.Tech + M.Tech","Software Engineering","2025-01-10","Security as there are proctors for every 15 students there is 1 proctor who acts as a guardian and keeps in touch with parents. Well thought semester structure and calendars for planning the tickets for visiting home. Early In-time makes it difficult to engage in extra activities.",47,"Neutral",1.3
86,"Lalith kumar Siramdasu",5,"B.Tech","Computer Science and Engineering","2025-01-10","Very over priced shops and franchise and mess food is horrible. Students are filled more than the capacity of the college. College life is exciting and very lively ",28,"Neutral",1.3
87,"M AKSHAY SHARMA",3.7,"B.Tech","Computer Science and Engineering","2025-01-09","Greenery of the campus and it's cleanliness  Restaurants inside are excellent and cooks really well Very much crowded and hard to walk in the sidewalk ",25,"Positive",1.7
88,"Sugan prasath",3.2,"B.Tech","Computer Science and Engineering","2025-01-08","The things I liked about vit bhopal is the faculty and the teaching methods used by the professors. Secondly I liked the ffcs course registration which allows a student to choose his or her teachers with whom they need to learn. Thirdly I liked the campus of vit bhopal. The kind of diversity in religion is very good here.",59,"Positive",2
89,"Narra Sai Harshavardhan Reddy",4.3,"B.Tech","Computer Science and Engineering","2025-01-07","The campus is under development stage, that is the thing I didn't like about this college. There is nothing else that I disliked about vit bhopal. There is nothing else that I disliked about vit bhopal.",36,"Neutral",1.3
90,"MEDAPATI DHEERAJ SAI GANESH",3.9,"B.Tech","Computer Science and Engineering","2025-01-06","Supportive faculties knowledgeable give guidance  Supportive faculties knowledgeable and helpful  Good campus environment make students comfortable ",16,"Positive",3.3
91,"M Revanth",4.1,"B.Tech","Computer Science and Engineering","2025-01-06","College is too crowded there too many students in one braches Competition vis very high with respect to their braches  Minmum 75 percentage attendance criteria ",25,"Neutral",1.3
92,"Review guru",3.3,"B.Tech","Computer Science and Engineering","2025-01-05","I liked the hostel management behaviour and their caring  I liked the mess food and their cleaning  I liked the study and the behaviour of the faculty ",27,"Neutral",1.3
93,"College Ninja",3.6,"B.Tech","Computer Science and Engineering","2025-01-05","I dislike the wifi network problem and the limited network  I dislikes the the main thing that they will tell us to come to college at Saturday also I dislike the things that we need to go back to college before 9pm",42,"Negative",0
94,"College Ninja",3.3,"B.Tech","Computer Science and Engineering","2025-01-05","I like it that the campus is so beautiful and our faculty is so so much talented and we have made exams and we have some exams and we will get the best faculty campus is so greenery and you are leaving the royal life There are more club here to join upon your interest Provision teachers are very support you and their help in your own ideas",68,"Positive",3
95,"College Ninja",3.3,"B.Tech","Artificial Intelligence & Machine Learning","2025-01-05","Hostel Wi-Fi speed slow so there is a trouble getting in student studying Normal two boys students can able to not able to eat Sometimes they keep Saturday colleges too",30,"Negative",0.7
96,"Review Ranger",3.5,"B.Com","Finance","2025-01-05","Except for the first semester we can choose our courses and each for each courses we can choose a faculty by ourselves There is no partially refrain in the girls and boys tell me all will be treated as a paper 0 ragging Hostel warden very friendly with the students the solve our problem as soon as possible",58,"Neutral",1.3
97,"Review Ninja",5,"B.Com","Finance","2025-01-04","VIT Wi-Fi is a bit slow this should be difficult for learning Boys download to rom Arun hostel until only 9 o'clock and for girls with only until 8 o'clock For going outside the college we should take permission from the proctor which are present to us",47,"Negative",0.7
98,"Himanshu Kumar Singh",3.1,"M.Sc","Data Science","2025-01-03","The crowd is very diverse and fun as you get to meet a lot of people. The faculties are very helpful and frirndly. The infrastructure is top notch and is well maintained.",32,"Positive",2.7
